variant_id,stop_id
503604,73
503604,2474
503605,2838
503605,1761
503605,74
503606,149
503607,148
503608,2251
503608,992
503609,1015
503610,72
503611,73
503612,2716
503613,2715
503614,149
503616,2838
503616,1761
503616,74
503616,798
503617,2838
503617,1761
503617,74
503619,2838
503619,1761
503619,74
503620,74
503621,74
503622,74
503622,2716
503623,74
503624,73
503625,799
503625,73
503626,149
503626,912
503627,148
503628,148
503629,148
503629,2716
503630,153
503630,148
503632,153
503632,148
503632,2716
503634,1015
503635,2251
503639,1015
503639,2716
503640,73
503641,73
503642,73
503642,2716
503645,2716
503646,912
503646,148
503647,148
503648,148
503649,148
503649,2716
503650,148
503651,2716
503651,2477
503653,2040
503654,2040
503654,2716
506199,553
506199,1742
506199,989
506199,480
506200,481
506200,2218
506200,1743
506200,554
506201,481
506201,2218
506201,1743
506201,554
506202,553
506202,1742
506202,989
506202,480
506206,481
506206,2218
506208,989
506208,480
506209,480
506210,481
506210,2218
506995,481
506995,2218
506995,1743
506995,554
506996,553
506996,1742
506996,989
506996,480
506997,553
506997,1742
506997,989
506997,480
506998,481
506998,2218
506998,1743
506998,554
506999,553
506999,1742
506999,989
506999,480
506999,2527
507000,989
507000,480
507589,553
507589,1742
507589,989
507589,480
507590,481
507590,2218
507590,1743
507590,554
507591,481
507591,2218
507591,1743
507591,554
507592,553
507592,1742
507592,989
507592,480
507598,989
507598,480
508153,2716
508154,2715
508155,149
508156,148
508157,72
508158,73
508159,2251
508159,992
508160,1015
508161,149
508163,2716
508163,2477
508165,73
508165,2474
508166,2838
508166,1761
508166,74
508169,2716
508170,149
508170,912
508171,148
508173,148
508173,2716
508174,153
508174,148
508176,153
508176,148
508176,2716
508179,73
508180,73
508180,2716
508181,1015
508182,2251
508186,1015
508186,2716
508187,912
508187,148
508188,148
508189,148
508190,148
508190,2716
508191,148
508192,2040
508193,2040
508193,2716
508194,2838
508194,1761
508194,74
508194,798
508195,2838
508195,1761
508195,74
508198,74
508202,73
508203,799
508203,73
509167,616
509167,1248
509167,711
509167,2279
509167,740
509167,748
509168,743
509168,747
509168,739
509168,3415
509168,2828
509168,1819
509169,616
509169,1248
509169,711
509169,2279
509169,740
509169,748
509169,744
509169,2007
509169,1083
509170,743
509170,747
509170,739
509170,3415
509170,2828
509170,1819
509171,711
509171,3422
509171,770
509172,771
509172,3415
509172,2828
509173,616
509173,1248
509173,711
509173,2279
509173,740
509173,748
509173,1084
509174,1087
509174,747
509174,739
509174,3415
509174,2828
509174,1819
509175,3420
509175,2782
509175,2928
509175,777
509175,2115
509176,2114
509176,776
509176,2781
509176,3415
509177,3058
509177,1977
509177,2073
509177,1979
509177,1702
509177,2076
509177,2680
509177,3067
509178,3066
509178,2679
509178,1082
509178,1703
509178,2073
509178,1979
509178,2075
509178,1978
509178,3058
509178,3415
509179,616
509179,1248
509179,711
509179,2279
509179,740
509179,748
509180,743
509180,1084
509180,747
509180,739
509180,3415
509180,2828
509180,1819
509181,616
509181,1248
509181,711
509181,2279
509181,740
509181,748
509183,616
509183,1248
509183,711
509183,2279
509183,740
509183,748
509183,744
